school,name,fullname,lat,lon,metroTotal,otherTotal,miami
uNO,Nebraska Omaha,University of Nebraska at Omaha,41.25825,-96.010705,85.52,14.48,0.409
uNLV,UNLV,University of Nevada-Las Vegas,36.10852,-115.143171,86.91,13.09,0.78
uNevada,Nevada,University of Nevada-Reno,39.544192,-119.816397,39.81,60.19,0.287
uNewHampshire,New Hampshire,University of New Hampshire,43.138948,-70.937025,77.44,22.56,0.707
uNewOrleans,New Orleans,University of New Orleans,30.028596,-90.066036,82.71,17.29,1.052
uNCAsheville,UNC Asheville,University of North Carolina at Asheville,35.616292,-82.567313,35.26,64.74,0.603
uCharlotte,Charlotte,University of North Carolina at Charlotte,35.307093,-80.735164,80.06,19.94,0.601
uNCGreensboro,UNC Greensboro,University of North Carolina at Greensboro,36.06893,-79.810198,34.65,65.35,0.577
uNCWilmington,UNC Wilmington,University of North Carolina Wilmington,34.223987,-77.870133,38.9,61.1,0.775
uNorthDakota,North Dakota,University of North Dakota,47.922891,-97.076801,44.41,55.59,0.453
uNorthFlorida,North Florida,University of North Florida,30.26612,-81.507231,86.09,13.91,3.309
uNorthernColorado,Northern Colorado,University of Northern Colorado,40.405512,-104.696038,64.45,35.55,0.401
uNorthernIowa,Northern Iowa,University of Northern Iowa,42.513389,-92.462003,45.63,54.37,0.307
uPortland,Portland,University of Portland,45.573205,-122.727571,81.75,18.25,0.339
uRhodeIsland,Rhode Island,University of Rhode Island,41.486065,-71.530854,86.03,13.97,1.271
uRichmond,Richmond,University of Richmond,37.575868,-77.540974,84.84,15.16,0.916
uSanDiego,San Diego,University of San Diego,32.776873,-117.154901,89.41,10.59,0.624
uSanFrancisco,San Francisco,University of San Francisco,37.776647,-122.450683,88.13,11.87,0.627
uSouthAlabama,South Alabama,University of South Alabama,30.695941,-88.184236,33.89,66.11,0.873
uUpstate,South Carolina-Upstate,University of South Carolina-Upstate,34.999247,-81.971272,57.64,42.36,0.875
uSouthDakota,South Dakota,University of South Dakota,42.788302,-96.925338,57.54,42.46,0.284
uSouthernMiss,Southern Mississippi,University of Southern Mississippi,31.330012,-89.334042,45.5,54.5,0.58
uTChattanooga,Tennessee-Chattanooga,University of Tennessee-Chattanooga,35.046407,-85.29447,36.82,63.18,0.544
uTMartin,Tennessee-Martin,University of Tennessee-Martin,36.341936,-88.864404,52.83,47.17,0.402
uTEP,UTEP,University of Texas at El Paso,31.770854,-106.504622,39.23,60.77,0.502
uTSA,Texas at San Antonio,University of Texas at San Antonio,29.583045,-98.619656,90.09,9.91,0.349
uRioGrandeValley,Texas Rio Grande Valley,University of Texas Rio Grande Valley,26.304653,-98.174275,34.37,65.63,0.445
uIncarnateWord,Incarnate Word,University of the Incarnate Word,29.467594,-98.467622,88.04,11.96,0.362
uPacific,Pacific,University of the Pacific,37.980815,-121.312023,72.06,27.94,0.782
uToledo,Toledo,University of Toledo,41.658031,-83.61407,45.08,54.92,0.74
uTulsa,Tulsa,University of Tulsa,36.151988,-95.946,85.06,14.94,0.745
uVermont,Vermont,University of Vermont,44.477853,-73.196464,77.93,22.07,0.841
uGreen Bay,Wisconsin-Green Bay,University of Wisconsin-Green Bay,44.532073,-87.921714,25.24,74.76,0.266
uWyoming,Wyoming,University of Wyoming,41.314875,-105.566574,53.31,46.69,0.321
uUtahState,Utah State,Utah State University,41.745161,-111.809742,55.92,44.08,0.282
uUtahValley,Utah Valley,Utah Valley University,40.278831,-111.715197,38.26,61.74,0.219
uValparaiso,Valparaiso,Valparaiso University,41.463939,-87.043889,76.93,23.07,0.601
uWagner,Wagner,Wagner College,40.61498,-74.094405,88.27,11.73,1.905
uWeber State,Weber State,Weber State University,41.192077,-111.944139,54.09,45.91,0.201
uWesternCarolina,Western Carolina,Western Carolina University,35.308922,-83.184378,40.47,59.53,0.863
uWesternIllinois,Western Illinois,Western Illinois University,40.472665,-90.685397,63.38,36.62,0.546
uWesternKentucky,Western Kentucky,Western Kentucky University,36.985354,-86.456138,53.51,46.49,0.524
uWesternMichigan,Western Michigan,Western Michigan University,42.283734,-85.610251,58.42,41.58,0.697
uWichitaState,Wichita State,Wichita State University,37.719393,-97.292869,85.5,14.5,0.445
uWinthrop,Winthrop,Winthrop University,34.939514,-81.03162,69.92,30.08,0.467
uWrightState,Wright State,Wright State University,39.784532,-84.059772,42.17,57.83,0.46
uYoungstownState,Youngstown State,Youngstown State University,41.10626,-80.6477,40.49,59.51,1.021
uAugustanaSD,Augustana U. (S.D),Augustana University Sioux Falls SD,43.5226,-96.7397,62.86,37.14,0.622
uMiddlebury,Middlebury,Middlebury College,44.0083,-73.1773,77.45,22.55,0.77
